******************************************************************************************
MOLECULAR-DYNAMICS SIMULATION FOR copper nanorod (100) big PBC 1K
******************************************************************************************

 DATE AND TIME: 2012.06.03 18:00:11

MDSL   , IAVL, IPPL, ISCAL, IPD, TE  , NA , LAYER, IPBC, PP(1), PP(2), PP(3)
3000 , 100 , 500 , 2    , 0  , 1.0 , 147, 6    , 1   , 0.0  , 0.0  , 25.27

  INITIAL COORDINATES:
 1.805 , 0.0   , 1.805 , 3.61 , 3.61 , 3.61 , 2 , 3 , 7
 3.61  , 0.0   , 0.0   , 3.61 , 3.61 , 3.61 , 1 , 1 , 7
 0.0   , 1.805 , 1.805 , 3.61 , 3.61 , 3.61 , 3 , 2 , 7
 1.805 , 1.805 , 0.0   , 3.61 , 3.61 , 3.61 , 2 , 2 , 7
 0.0   , 3.61  , 0.0   , 3.61 , 3.61 , 3.61 , 3 , 1 , 7
 3.61  , 7.22  , 0.0   , 3.61 , 3.61 , 3.61 , 1 , 1 , 7
******************************************************************************************

  NUMBER OF MOVING ATOMS: NA= 147
  NUMBER OF TOTAL ATOMS: NN= 147

  INITIAL COORDINATES OF ALL ATOMS: (X,Y,Z)

    1      3.61000      0.00000      0.00000
    2      1.80500      1.80500      0.00000
    3      1.80500      5.41500      0.00000
    4      5.41500      1.80500      0.00000
    5      5.41500      5.41500      0.00000
    6      0.00000      3.61000      0.00000
    7      3.61000      3.61000      0.00000
    8      7.22000      3.61000      0.00000
    9      3.61000      7.22000      0.00000
   10      3.61000      1.80500      1.80500
   11      3.61000      5.41500      1.80500
   12      7.22000      1.80500      1.80500
   13      7.22000      5.41500      1.80500
   14      1.80500      3.61000      1.80500
   15      1.80500      7.22000      1.80500
   16      5.41500      0.00000      1.80500
   17      5.41500      3.61000      1.80500
   18      5.41500      7.22000      1.80500
   19      1.80500      0.00000      1.80500
   20      0.00000      1.80500      1.80500
   21      0.00000      5.41500      1.80500
   22      5.41500      5.41500      3.61000
   23      1.80500      5.41500      3.61000
   24      0.00000      3.61000      3.61000
   25      1.80500      1.80500      3.61000
   26      3.61000      3.61000      3.61000
   27      5.41500      1.80500      3.61000
   28      7.22000      3.61000      3.61000
   29      3.61000      0.00000      3.61000
   30      3.61000      7.22000      3.61000
   31      1.80500      7.22000      5.41500
   32      3.61000      1.80500      5.41500
   33      5.41500      7.22000      5.41500
   34      3.61000      5.41500      5.41500
   35      1.80500      3.61000      5.41500
   36      7.22000      1.80500      5.41500
   37      5.41500      0.00000      5.41500
   38      7.22000      5.41500      5.41500
   39      1.80500      0.00000      5.41500
   40      0.00000      1.80500      5.41500
   41      5.41500      3.61000      5.41500
   42      0.00000      5.41500      5.41500
   43      1.80500      5.41500      7.22000
   44      3.61000      0.00000      7.22000
   45      3.61000      3.61000      7.22000
   46      5.41500      5.41500      7.22000
   47      1.80500      1.80500      7.22000
   48      7.22000      3.61000      7.22000
   49      5.41500      1.80500      7.22000
   50      0.00000      3.61000      7.22000
   51      3.61000      7.22000      7.22000
   52      1.80500      0.00000      9.02500
   53      5.41500      3.61000      9.02500
   54      3.61000      1.80500      9.02500
   55      1.80500      3.61000      9.02500
   56      5.41500      0.00000      9.02500
   57      3.61000      5.41500      9.02500
   58      0.00000      1.80500      9.02500
   59      5.41500      7.22000      9.02500
   60      7.22000      1.80500      9.02500
   61      1.80500      7.22000      9.02500
   62      0.00000      5.41500      9.02500
   63      7.22000      5.41500      9.02500
   64      3.61000      3.61000     10.83000
   65      1.80500      1.80500     10.83000
   66      3.61000      0.00000     10.83000
   67      0.00000      3.61000     10.83000
   68      7.22000      3.61000     10.83000
   69      1.80500      5.41500     10.83000
   70      5.41500      5.41500     10.83000
   71      5.41500      1.80500     10.83000
   72      3.61000      7.22000     10.83000
   73      5.41500      7.22000     12.63500
   74      1.80500      7.22000     12.63500
   75      3.61000      1.80500     12.63500
   76      7.22000      5.41500     12.63500
   77      0.00000      1.80500     12.63500
   78      5.41500      3.61000     12.63500
   79      5.41500      0.00000     12.63500
   80      3.61000      5.41500     12.63500
   81      1.80500      3.61000     12.63500
   82      0.00000      5.41500     12.63500
   83      1.80500      0.00000     12.63500
   84      7.22000      1.80500     12.63500
   85      0.00000      3.61000     14.44000
